Date,Price,Open,High,Low,Vol.,Change %,,Date2,Price2,,Date(Month),Date(Year),,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
11/27/2018,356.5,356,358.5,355.5,248.13,0.001,,,,,11,2018,,,,,,,,,,,,,,,,,,,,,
11/26/2018,356,359.5,360.5,355.25,331.2,-0.008,,,,,11,2018,,,,,,,,,,,,,,,,,,,,,
11/23/2018,359,361,361.75,358.75,174.04,-0.008,,,,,11,2018,,,,,,,,,,,,,,,,,,,,,
11/21/2018,361.75,361.25,363.25,360,184.08,0.001,,,,,11,2018,,,,,,,,,,,,,,,,,,,,,
11/20/2018,361.25,362.75,363.5,361.25,146.93,-0.003,,,,,11,2018,,,,,,,,,,,,,,,,,,,,,
11/19/2018,362.25,364.75,366.25,361.25,179.46,-0.007,,,,,11,2018,,,,,,,,,,,,,,,,,,,,,
11/16/2018,364.75,367.25,368.75,363.25,180.97,-0.008,,,,,11,2018,,,,,,,,,,,,,,,,,,,,,
11/15/2018,367.5,366.75,371.75,366.5,182.15,0.001,,,,,11,2018,,,,,,,,,,,,,,,,,,,,,
11/14/2018,367,366,368,365.75,121.77,0.001,,,,,11,2018,,,,,,,,,,,,,,,,,,,,,
11/13/2018,366.5,369.5,370.75,365.5,178.86,-0.013,,,,,11,2018,,,,,,,,,,,,,,,,,,,,,
11/12/2018,371.25,369,372.5,368,176.02,0.004,,,,,11,2018,,,,,,,,,,,,,,,,,,,,,
11/9/2018,369.75,372.75,374,368.25,212.42,-0.01,,,,,11,2018,,,,,,,,,,,,,,,,,,,,,
11/8/2018,373.5,372,379,366,432.34,0.003,,,,,11,2018,,,,,,,,,,,,,,,,,,,,,
11/7/2018,372.25,372.25,373.25,371,233.52,-0.003,,,,,11,2018,,,,,,,,,,,,,,,,,,,,,
11/6/2018,373.25,373.75,374.5,372,206.08,-0.002,,,,,11,2018,,,,,,,,,,,,,,,,,,,,,
11/5/2018,374,371,374.25,369.5,191.62,0.007,,,,,11,2018,,,,,,,,,,,,,,,,,,,,,
11/2/2018,371.25,366.25,373,365.25,242.63,0.012,,,,,11,2018,,,,,,,,,,,,,,,,,,,,,
11/1/2018,366.75,363.25,371,363,304.75,0.01,,,,,11,2018,,,,,,,,,,,,,,,,,,,,,
10/31/2018,363.25,364.75,365.25,362.5,163.23,-0.004,,,,,10,2018,,,,,,,,,,,,,,,,,,,,,
10/30/2018,364.75,366.75,368,364.25,137.33,-0.006,,,,,10,2018,,,,,,,,,,,,,,,,,,,,,
10/29/2018,366.75,368,371.5,365.5,142.75,-0.003,,,,,10,2018,,,,,,,,,,,,,,,,,,,,,
10/26/2018,367.75,361.75,369.75,361.75,220.03,0.019,,,,,10,2018,,,,,,,,,,,,,,,,,,,,,
10/25/2018,361,367.75,368.25,360.5,262.81,-0.02,,,,,10,2018,,,,,,,,,,,,,,,,,,,,,
10/24/2018,368.25,369.5,369.75,367.75,114.26,-0.005,,,,,10,2018,,,,,,,,,,,,,,,,,,,,,
10/23/2018,370.25,369.25,372.5,368,136.63,0.002,,,,,10,2018,,,,,,,,,,,,,,,,,,,,,
10/22/2018,369.5,365.5,370.5,365.5,140.54,0.007,,,,,10,2018,,,,,,,,,,,,,,,,,,,,,
10/19/2018,367,370.5,371,366,165.33,-0.01,,,,,10,2018,,,,,,,,,,,,,,,,,,,,,
10/18/2018,370.75,373,373.25,369.5,137.27,-0.009,,,,,10,2018,,,,,,,,,,,,,,,,,,,,,
10/17/2018,374.25,375,376.25,373.25,106.45,-0.003,,,,,10,2018,,,,,,,,,,,,,,,,,,,,,
10/16/2018,375.25,377.25,377.5,373.5,185.9,-0.008,,,,,10,2018,,,,,,,,,,,,,,,,,,,,,
10/15/2018,378.25,373,378.5,371.75,227.94,0.012,,,,,10,2018,,,,,,,,,,,,,,,,,,,,,
10/12/2018,373.75,369,374,368.5,185.82,0.012,,,,,10,2018,,,,,,,,,,,,,,,,,,,,,
